f1|f2|f3|f4|f5|f6|f7|f8|f9|f10
anoth|during______|coa|be|common_______|experie|leader____|enter________|alone_______________|I____________
even_|leader______|let|lo|single_______|hospita|wife______|five_________|option______________|leg__________
hundr|pattern_____|not|so|sure_________|authori|company___|home_________|from________________|guy__________
rathe|contain_____|pay|aw|large________|worker_|off_______|which________|ground______________|fear_________
knowl|big_________|how|de|about________|wait___|fill______|notice_______|try_________________|stop_________
well_|college_____|bey|he|response_____|organiz|exist_____|technology___|certainly___________|range________
join_|reality_____|he_|de|sound________|article|rise______|capital______|economy_____________|high_________
range|industry____|bri|se|age__________|attenti|great_____|red__________|information_________|successful___
elect|party_______|for|pa|whose________|actuall|follow____|service______|person______________|only_________
guess|close_______|six|al|building_____|ahead__|forward___|family_______|finish______________|local________
stock|list________|set|st|traditional__|upon___|however___|student______|goal________________|as___________
dark_|every_______|ima|I_|art__________|order__|seat______|parent_______|thousand____________|become_______
cold_|that________|try|da|break________|intervi|media_____|degree_______|several_____________|how__________
deter|around______|wat|us|tend_________|matter_|fine______|speech_______|his_________________|film_________
prepa|that________|wai|po|answer_______|wall___|seven_____|soon_________|hot_________________|former_______
schoo|world_______|pos|mu|fear_________|church_|such______|important____|cold________________|power________
offic|thing_______|par|ro|than_________|similar|something_|father_______|rate________________|type_________
recei|push________|att|po|college______|public_|since_____|stop_________|policy______________|sort_________
shoul|capital_____|pol|ce|create_______|assume_|run_______|sport________|staff_______________|drug_________
ident|plant_______|dau|mo|me___________|resourc|only______|high_________|page________________|seem_________
close|peace_______|lan|sp|strategy_____|my_____|foreign___|Mr___________|couple______________|pressure_____
ten__|recent______|sig|bu|require______|far____|certainly_|everything___|partner_____________|blue_________
democ|trade_______|eff|we|meeting______|ground_|wide______|for__________|gun_________________|own__________
truth|force_______|pub|br|thing________|purpose|challenge_|down_________|career______________|imagine______
hospi|debate______|imp|de|research_____|service|wall______|peace________|contain_____________|other________
small|human_______|Con|on|senior_______|million|improve___|today________|themselves__________|method_______
beat_|eat_________|lit|ro|guess________|kind___|agency____|gun__________|each________________|fact_________
full_|body________|sen|be|commercial___|electio|white_____|add__________|better______________|west_________
retur|hold________|thr|bu|along________|those__|source____|subject______|another_____________|with_________
might|baby________|gue|la|rate_________|if_____|democratic|other________|light_______________|represent____
inter|song________|cou|un|make_________|anyone_|food______|build________|conference__________|give_________
teach|husband_____|gre|be|recently_____|foot___|itself____|part_________|partner_____________|item_________
later|either______|adm|pu|return_______|matter_|nothing___|Congress_____|would_______________|leg__________
facto|other_______|fly|fo|story________|yes____|garden____|another______|move________________|dark_________
gas__|require_____|hot|po|though_______|next___|plan______|thousand_____|soldier_____________|whom_________
secur|institution_|bla|gl|push_________|read___|good______|brother______|property____________|gas__________
weigh|now_________|fin|ca|claim________|trainin|true______|economic_____|stay________________|sure_________
patte|identify____|sty|im|population___|message|cell______|worker_______|example_____________|summer_______
say__|kitchen_____|loo|la|public_______|accordi|art_______|station______|accept______________|teach________
direc|another_____|wit|po|lot__________|you____|argue_____|pay__________|crime_______________|agency_______
way__|term________|tri|le|start________|body___|picture___|address______|able________________|ten__________
partn|candidate___|int|gi|force________|later__|half______|charge_______|develop_____________|more_________
he___|recent______|the|ya|prepare______|be_____|outside___|skin_________|example_____________|before_______
theor|continue____|you|th|yet__________|leave__|leader____|others_______|size________________|seek_________
lose_|reveal______|att|co|fill_________|at_____|case______|imagine______|ahead_______________|cut__________
laugh|generation__|pos|th|able_________|month__|first_____|amount_______|fear________________|type_________
Congr|me__________|wee|po|analysis_____|require|onto______|individual___|town________________|thing________
Repub|four________|con|da|task_________|lot____|model_____|realize______|require_____________|ability______
descr|apply_______|sam|ca|white________|bank___|necessary_|let__________|main________________|box__________
free_|college_____|cas|ac|look_________|short__|try_______|wife_________|poor________________|commercial___
